ID,Module,Feature,Test Scenario,Steps,Expected Result
UAT-01,Auth,Login,"Valid login with superuser","1. Buka http://127.0.0.1:8001/ 2. Masukkan admin / admin123 3. Klik Sign In","Redirect ke dashboard, lihat 4 stat boxes (Projects, Findings, Late Findings, SLA Compliance %)"
UAT-02,Auth,Login,"Invalid login","1. Buka http://127.0.0.1:8001/ 2. Masukkan admin / wrongpassword 3. Klik Sign In","Error: 'Your username and password didn't match.'"
UAT-03,Auth,Logout,"Logout","1. Klik Logout di navbar kanan atas","Redirect ke login page"
UAT-04,Dashboard,Charts,"Severity doughnut chart","1. Login sebagai admin 2. Lihat chart Findings by Severity","Chart doughnut muncul dengan warna: Critical=hitam, High=merah, Medium=kuning, Low=biru"
UAT-05,Dashboard,Charts,"SPI doughnut chart","1. Login sebagai admin 2. Lihat chart Project Schedule (SPI)","Chart doughnut muncul: On Track (hijau) vs Delayed (merah)"
UAT-06,Dashboard,Recent,"Recent Findings table","1. Login sebagai admin 2. Lihat tabel Recent Findings","Tabel muncul dengan title, severity badge berwarna, dan project name"
UAT-07,Dashboard,Recent,"Recent Projects table","1. Login sebagai admin 2. Lihat tabel Recent Projects","Tabel muncul dengan project name, status, dan SPI badge"
UAT-08,Sidebar,Navigation,"Semua menu tampil untuk superuser","1. Login sebagai admin 2. Lihat sidebar","Menu: Dashboard, Organizations, Projects, Findings, VKB, Reports. ADMINISTRATION: User Management, Role Management, SLA Profiles, Report Template, Audit Log"
UAT-09,Sidebar,Navigation,"Menu terbatas untuk user biasa","1. Buat user non-admin 2. Login user tersebut 3. Lihat sidebar","Hanya menu utama (Dashboard, Organizations, Projects, Findings, VKB, Reports). Tidak ada ADMINISTRATION section."
UAT-10,Organizations,CRUD,"Create Organization","1. Klik Organizations di sidebar 2. Klik Add New Organization 3. Isi name + description 4. Save","Organization baru muncul di list"
UAT-11,Organizations,CRUD,"Edit Organization","1. Di organization list, klik Edit 2. Ubah description 3. Save","Description berubah di detail page"
UAT-12,Organizations,CRUD,"Delete Organization","1. Di organization list, klik Delete 2. Konfirmasi delete","Organization hilang dari list"
UAT-13,Projects,CRUD,"Create Project dengan SLA Profile","1. Buat SLA Profile dulu (/projects/sla/) 2. Klik Projects → Create New Project 3. Isi form + pilih SLA Profile 4. Save","Project muncul di list dengan SLA profile yang terpilih"
UAT-14,Projects,CRUD,"Edit Project","1. Klik Edit di project list 2. Ubah status ke Completed 3. Save","Project detail: completed_date terisi otomatis, SPI dihitung"
UAT-15,Projects,Detail,"Project detail menampilkan semua section","1. Buka detail project 2. Scroll semua section","Tampil: Project info, SLA profile, SPI, Assignments, Stakeholders, Scanning Reports, Findings, Report History, Activity"
UAT-16,Assignments,Add,"Assign user ke project","1. Di project detail, klik Assign User 2. Pilih user + title 3. Assign","User muncul di list Assignments"
UAT-17,Assignments,Remove,"Remove assignment","1. Di project detail, klik Remove pada assignment 2. Konfirmasi","Assignment hilang dari list"
UAT-18,Stakeholders,Add,"Add stakeholder","1. Di project detail, klik Add Stakeholder 2. Isi name, email, position 3. Add","Stakeholder muncul di list"
UAT-19,Findings,CRUD,"Create Finding dengan Quill PoC","1. Di project detail, klik Add Finding 2. Isi form — PoC gunakan Quill editor (bold, italic, paste image) 3. Save","Finding muncul di list. PoC render HTML dengan format"
UAT-20,Findings,CRUD,"Edit Finding","1. Klik Edit di finding list 2. Ubah severity dari Medium ke High 3. Save","Finding detail: severity berubah, activity log mencatat perubahan"
UAT-21,Findings,Search,"Search findings by keyword","1. Ke /findings/ 2. Ketik keyword di search box 3. Klik Filter","Hanya findings yang title/description mengandung keyword yang tampil"
UAT-22,Findings,Filter,"Filter by severity","1. Ke /findings/ 2. Pilih Critical di dropdown severity 3. Filter","Hanya Critical findings yang tampil"
UAT-23,Findings,Filter,"Filter by project","1. Ke /findings/ 2. Pilih project di dropdown 3. Filter","Hanya findings dari project tersebut yang tampil"
UAT-24,Findings,Filter,"Filter by date range","1. Ke /findings/ 2. Set date_from dan date_to 3. Filter","Hanya findings dalam range tanggal tersebut yang tampil"
UAT-25,Findings,Filter,"Kombinasi filter","1. Ke /findings/ 2. Set severity=High, status=Open, keyword=XSS 3. Filter","Hasil filter kombinasi yang benar"
UAT-26,Findings,Filter,"Clear filter","1. Set beberapa filter 2. Klik Clear","Kembali ke tampilan tanpa filter (semua findings)"
UAT-27,Findings,Pagination,"Pagination preserve filter","1. Buat 15+ findings 2. Set filter severity=High 3. Klik Next page","Pagination link preserve filter param severity=High"
UAT-28,SLA Profiles,CRUD,"Create SLA Profile","1. Ke /projects/sla/ 2. Klik Add SLA Profile 3. Isi name + days per severity 4. Save","Profile muncul di list dengan nilai days"
UAT-29,SLA Profiles,Default,"Auto-clear default lama","1. Buat SLA Profile A (is_default=True) 2. Buat SLA Profile B (is_default=True) 3. Refresh list","Profile A is_default=False, Profile B is_default=True"
UAT-30,SLA Profiles,Delete,"Delete SLA Profile","1. Delete SLA Profile yang digunakan project 2. Lihat project detail","Project detail: SLA Profile → 'Default SLA' (fallback)"
UAT-31,Findings,SLA,"SLA Custom per profile","1. Buat SLA Critical=3 hari 2. Assign ke project 3. Buat finding Critical di project tsb","SLA due date = created_at + 3 hari (bukan default 7 hari)"
UAT-32,Findings,SLA,"SLA Late detection","1. Buat finding Critical, set created_at 8 hari lalu 2. Lihat project detail","Finding ditandai merah (table-danger), late=True, delay=1 hari"
UAT-33,VKB,CRUD,"Create VKB entry","1. Ke /vkb/ 2. Klik Create 3. Isi form vulnerability template 4. Save","VKB entry muncul di list"
UAT-34,Findings,VKB,"Use VKB saat create finding","1. Buat VKB entry (SQL Injection) 2. Create finding, pilih VKB di dropdown 3. Save","Fields terisi otomatis dari VKB"
UAT-35,Findings,VKB,"Save finding to VKB","1. Create finding dengan save_to_vkb=True 2. Pilih category 3. Save","VKB entry baru terbuat dengan data finding"
UAT-36,Reports,Generate,"Generate MD report","1. Di project detail (yang memiliki findings) 2. Klik Generate Report 3. Tunggu beberapa detik","Report muncul di Report History dengan status Done"
UAT-37,Reports,Preview,"Preview MD report","1. Klik Preview pada report Done 2. Lihat tab baru","Report MD dirender sebagai HTML: headings, tables, bold, code blocks"
UAT-38,Reports,Download,"Download MD report","1. Klik Download pada report Done","File .md terdownload"
UAT-39,Reports,Delete,"Delete report","1. Klik Delete pada report 2. Konfirmasi","Report hilang dari history"
UAT-40,Reports,List,"Report History list page","1. Ke /reports/ 2. Lihat tabel","Tabel dengan kolom: Project, Organization, File, Format, Status, Created, Actions. Filter dropdowns: Project, Format, Status"
UAT-41,Reports,List,"Filter report by project","1. Ke /reports/ 2. Pilih project di dropdown 3. Filter","Hanya report dari project tsb"
UAT-42,Reports,Template,"Edit Report Template","1. Ke /reports/template/ 2. Edit konten template 3. Save 4. Generate report baru","Report menggunakan template yang sudah diedit"
UAT-43,Audit,Logging,"Audit log mencatat create","1. Create finding baru 2. Buka /audit/","Audit log: Created by admin + timestamp"
UAT-44,Audit,Logging,"Audit log mencatat update","1. Edit finding (ubah severity) 2. Buka /audit/","Audit log: Updated by admin, changes: severity→..."
UAT-45,Audit,Activity,"Activity di finding detail","1. Edit finding 2x (ubah severity, ubah status) 2. Lihat Activity di finding detail","3 entry: create + 2 update dengan detail perubahan"
UAT-46,Audit,Activity,"Activity di project detail","1. Edit project status 2. Lihat Activity di project detail","2 entry: create + update dengan detail perubahan"
UAT-47,UI,Layout,"AdminLTE v4 layout","1. Login 2. Lihat keseluruhan layout","Dark sidebar, Bootstrap 5.3, Bootstrap Icons, no jQuery, smooth animations"
UAT-48,UI,Icons,"Bootstrap Icons konsisten","1. Login 2. Cek semua halaman","Semua icon Bootstrap Icons (bi bi-*), tidak ada Font Awesome (fa fa-*)"
UAT-49,UI,Severity,"Severity badge color correct","1. Buat findings: Critical, High, Medium, Low 2. Lihat di finding list, dashboard, project detail","Critical=hitam, High=merah, Medium=kuning, Low=biru, Info=hijau"
UAT-50,UI,DarkMode,"Dark mode toggle","1. Klik tombol dark/light di navbar","Tema berubah ke dark mode (jika tersedia di AdminLTE v4)"
